,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Toronto FCMajor League Soccer,111651,4-2-3-1 Wide,71,75,72,69,€355.5M,28,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,71,72,72,70,€351M,27,
,Seattle Sounders FCMajor League Soccer,111144,4-2-3-1 Wide,71,73,73,69,€364.5M,23,
,Columbus CrewMajor League Soccer,687,4-2-3-1 Wide,71,69,72,70,€180M,27,
,Sporting Kansas CityMajor League Soccer,696,4-3-3 Attack,71,72,73,70,€292.5M,28,
,Los Angeles FCMajor League Soccer,112996,4-3-3 Holding,70,73,72,66,€427.5M,23,
,DC UnitedMajor League Soccer,688,4-2-3-1 Wide,70,75,70,69,€297M,23,
,LA GalaxyMajor League Soccer,697,4-4-1-1 Midfield,70,78,72,66,€432M,25,
,New York City FCMajor League Soccer,112828,4-3-3 Attack,70,69,71,71,€346.5M,26,
,Atlanta UnitedMajor League Soccer,112885,3-4-2-1,70,77,67,68,€450M,25,
,Philadelphia UnionMajor League Soccer,112134,4-1-2-1-2 Narrow,69,70,69,68,€216M,25,
,CF MontréalMajor League Soccer,111139,5-4-1 Flat,69,71,72,64,€189M,27,
,San Jose EarthquakesMajor League Soccer,111928,4-2-3-1 Wide,69,69,70,69,€247.5M,28,
,New York Red BullsMajor League Soccer,689,4-4-2 Holding,69,69,69,70,€261M,26,
,New England RevolutionMajor League Soccer,691,4-4-2 Flat,69,71,69,68,€220.5M,26,
,Chicago FireMajor League Soccer,693,4-1-4-1,69,72,67,67,€301.5M,25,
,FC DallasMajor League Soccer,695,4-3-3 Flat,69,70,69,70,€198M,27,
,Houston DynamoMajor League Soccer,698,4-3-3 Flat,69,67,71,69,€252M,27,
,FC CincinnatiMajor League Soccer,113149,4-2-3-1 Wide,69,70,70,69,€256.5M,30,
,Minnesota United FCMajor League Soccer,111138,4-2-3-1 Wide,68,65,70,68,€270M,24,
,Colorado RapidsMajor League Soccer,694,4-2-3-1 Wide,68,74,69,67,€171M,23,
,Real Salt LakeMajor League Soccer,111065,4-2-3-1 Wide,68,71,69,67,€211.5M,30,
,Orlando City SCMajor League Soccer,112606,4-3-3 Holding,68,70,68,66,€265.5M,27,
,Vancouver Whitecaps FCMajor League Soccer,101112,4-4-2 Holding,68,72,68,68,€193.5M,29,
