,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Seattle Sounders FCMajor League Soccer,111144,4-4-2 Flat,71,80,69,68,€0,30,
,LA GalaxyMajor League Soccer,697,4-4-2 Flat,70,75,71,68,€0,30,
,CF MontréalMajor League Soccer,111139,4-3-3 Holding,69,75,66,68,€0,30,
,Toronto FCMajor League Soccer,111651,4-1-2-1-2 Narrow,69,70,68,68,€0,29,
,Portland TimbersMajor League Soccer,111140,4-3-3 Holding,69,67,70,68,€0,26,
,Columbus CrewMajor League Soccer,687,4-2-3-1 Wide,69,71,70,67,€0,28,
,New York Red BullsMajor League Soccer,689,4-2-3-1 Wide,69,73,70,66,€0,29,
,Sporting Kansas CityMajor League Soccer,696,4-3-3 Flat,69,70,67,67,€0,26,
,New York City FCMajor League Soccer,112828,4-2-3-1 Wide,69,73,68,66,€0,26,
,Vancouver Whitecaps FCMajor League Soccer,101112,4-2-3-1 Wide,69,66,69,68,€0,30,
,Philadelphia UnionMajor League Soccer,112134,4-2-3-1 Wide,68,67,69,68,€0,28,
,San Jose EarthquakesMajor League Soccer,111928,4-4-2 Flat,68,69,66,67,€0,29,
,DC UnitedMajor League Soccer,688,4-4-2 Flat,68,68,66,68,€0,26,
,FC DallasMajor League Soccer,695,4-2-3-1 Wide,68,66,69,66,€0,26,
,Houston DynamoMajor League Soccer,698,4-4-2 Flat,68,70,67,69,€0,27,
,Real Salt LakeMajor League Soccer,111065,4-3-3 Attack,68,66,68,67,€0,28,
,New England RevolutionMajor League Soccer,691,4-2-3-1 Wide,67,68,67,67,€0,24,
,Chicago FireMajor League Soccer,693,4-4-1-1 Midfield,67,70,64,62,€0,25,
,Colorado RapidsMajor League Soccer,694,4-2-3-1 Wide,67,69,64,66,€0,27,
,Orlando City SCMajor League Soccer,112606,4-2-3-1 Wide,67,66,69,67,€0,28,
