,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Seattle Sounders FCMajor League Soccer,111144,4-2-3-1 Wide,72,72,73,69,€364.5M,28,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,71,71,73,69,€351M,28,
,Columbus CrewMajor League Soccer,687,4-2-3-1 Wide,71,70,72,69,€180M,29,
,Inter MiamiMajor League Soccer,112893,4-2-3-1 Wide,71,72,72,69,€330M,29,
,Toronto FCMajor League Soccer,111651,4-2-3-1 Wide,70,74,71,69,€355.5M,29,
,Los Angeles FCMajor League Soccer,112996,4-3-3 Holding,70,75,69,68,€427.5M,25,
,DC UnitedMajor League Soccer,688,4-4-2 Holding,70,70,70,66,€297M,26,
,Sporting Kansas CityMajor League Soccer,696,4-3-3 Holding,70,73,69,68,€292.5M,28,
,New York City FCMajor League Soccer,112828,4-2-3-1 Wide,70,69,69,71,€346.5M,25,
,Philadelphia UnionMajor League Soccer,112134,4-1-2-1-2 Narrow,69,69,70,68,€216M,26,
,Minnesota United FCMajor League Soccer,111138,4-2-3-1 Wide,69,73,70,69,€270M,29,
,New England RevolutionMajor League Soccer,691,4-2-3-1 Wide,69,71,67,66,€220.5M,26,
,FC DallasMajor League Soccer,695,4-2-3-1 Wide,69,74,70,67,€198M,26,
,LA GalaxyMajor League Soccer,697,4-2-3-1 Wide,69,76,72,66,€432M,28,
,Orlando City SCMajor League Soccer,112606,4-2-3-1 Wide,69,66,71,66,€265.5M,28,
,Atlanta UnitedMajor League Soccer,112885,4-2-3-1 Wide,69,67,69,67,€450M,28,
,CF MontréalMajor League Soccer,111139,5-3-2,68,70,69,66,€189M,27,
,San Jose EarthquakesMajor League Soccer,111928,4-1-4-1,68,68,70,68,€247.5M,28,
,New York Red BullsMajor League Soccer,689,4-2-3-1 Wide,68,67,69,69,€261M,28,
,Chicago FireMajor League Soccer,693,4-2-3-1 Wide,68,71,70,64,€301.5M,26,
,Colorado RapidsMajor League Soccer,694,4-2-3-1 Wide,68,69,69,68,€171M,25,
,Houston DynamoMajor League Soccer,698,4-1-4-1,68,70,68,68,€252M,29,
,Nashville SCMajor League Soccer,114162,4-4-1-1 Midfield,68,62,68,68,€180M,29,
,Vancouver Whitecaps FCMajor League Soccer,101112,4-4-2 Holding,68,72,66,67,€193.5M,28,
,FC CincinnatiMajor League Soccer,113149,4-2-3-1 Wide,68,66,69,67,€256.5M,28,
,Real Salt LakeMajor League Soccer,111065,4-2-3-1 Wide,67,71,67,67,€211.5M,30,
