,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Seattle Sounders FCMajor League Soccer,111144,4-2-3-1 Wide,71,75,73,68,€364.5M,26,
,Los Angeles FCMajor League Soccer,112996,4-3-3 Holding,71,74,70,69,€427.5M,27,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,70,70,71,70,€351M,28,
,Columbus CrewMajor League Soccer,687,5-3-2,70,72,67,70,€180M,29,
,New York City FCMajor League Soccer,112828,4-2-3-1 Wide,70,71,70,70,€346.5M,26,
,Atlanta UnitedMajor League Soccer,112885,4-2-3-1 Narrow,70,78,71,66,€450M,30,
,Philadelphia UnionMajor League Soccer,112134,4-1-2-1-2 Narrow,69,69,69,69,€216M,26,
,Minnesota United FCMajor League Soccer,111138,4-2-3-1 Wide,69,69,69,67,€270M,28,
,New England RevolutionMajor League Soccer,691,4-2-3-1 Wide,69,72,68,70,€220.5M,29,
,FC DallasMajor League Soccer,695,4-3-3 Holding,69,73,67,68,€178M,29,
,Sporting Kansas CityMajor League Soccer,696,4-1-4-1,69,65,68,67,€292.5M,28,
,Orlando City SCMajor League Soccer,112606,4-2-3-1 Wide,69,73,70,67,€265.5M,28,
,Vancouver Whitecaps FCMajor League Soccer,101112,3-4-2-1,69,71,67,67,€193.5M,30,
,CF MontréalMajor League Soccer,111139,3-4-2-1,68,71,68,68,€189M,30,
,San Jose EarthquakesMajor League Soccer,111928,4-2-3-1 Wide,68,70,69,67,€247.5M,28,
,DC UnitedMajor League Soccer,688,5-3-2,68,70,66,68,€297M,28,
,New York Red BullsMajor League Soccer,689,4-2-3-1 Wide,68,68,68,68,€261M,27,
,Chicago FireMajor League Soccer,693,4-2-3-1 Wide,68,70,68,66,€301.5M,25,
,Colorado RapidsMajor League Soccer,694,3-4-1-2,68,69,68,67,€171M,28,
,LA GalaxyMajor League Soccer,697,4-2-3-1 Wide,68,74,68,67,€432M,29,
,Houston DynamoMajor League Soccer,698,4-2-3-1 Wide,68,72,68,67,€252M,27,
,Real Salt LakeMajor League Soccer,111065,4-4-2 Holding,68,70,68,66,€211.5M,30,
,Austin FCMajor League Soccer,114161,4-2-3-1 Wide,68,68,70,66,€150M,27,
,Nashville SCMajor League Soccer,114162,5-3-2,68,70,69,68,€180M,24,
,Inter MiamiMajor League Soccer,112893,4-3-3 Defend,67,67,67,66,€330M,30,
,FC CincinnatiMajor League Soccer,113149,5-2-1-2,67,68,70,65,€226.5M,28,
,Toronto FCMajor League Soccer,111651,4-4-2 Holding,66,68,68,64,€355.5M,25,
