,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Inter MiamiMajor League Soccer,112893,4-3-3 Holding,74,77,75,72,€420M,32,
,Los Angeles FCMajor League Soccer,112996,4-3-3 Holding,73,77,72,71,€427.5M,31,
,LA GalaxyMajor League Soccer,697,4-3-3 Flat,71,74,73,69,€412M,25,
,FC CincinnatiMajor League Soccer,113149,3-4-1-2,71,69,74,69,€226.5M,29,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,70,68,71,68,€201M,23,
,Seattle Sounders FCMajor League Soccer,111144,4-2-3-1 Wide,70,73,69,69,€314.5M,28,
,Columbus CrewMajor League Soccer,687,3-4-2-1,70,78,69,69,€194M,24,
,Vancouver Whitecaps FCMajor League Soccer,101112,3-1-4-2,70,73,68,68,€173.5M,28,
,Philadelphia UnionMajor League Soccer,112134,4-1-2-1-2 Narrow,69,71,68,70,€206M,28,
,San Jose EarthquakesMajor League Soccer,111928,4-2-3-1 Wide,69,71,70,68,€162.8M,27,
,St. Louis CITY SCMajor League Soccer,113018,4-2-3-1 Wide,69,72,69,67,€175M,28,
,New England RevolutionMajor League Soccer,691,4-2-3-1 Wide,69,69,70,67,€170.5M,27,
,Houston DynamoMajor League Soccer,698,4-2-3-1 Wide,69,69,69,67,€188M,31,
,Charlotte FCMajor League Soccer,114640,4-2-3-1 Wide,69,69,70,70,€170M,29,
,Real Salt LakeMajor League Soccer,111065,4-2-3-1 Wide,69,78,68,68,€171.5M,29,
,Orlando City SCMajor League Soccer,112606,4-2-3-1 Wide,69,71,71,66,€225.5M,30,
,Nashville SCMajor League Soccer,114162,4-2-3-1 Wide,69,71,68,70,€180M,31,
,Atlanta UnitedMajor League Soccer,112885,4-2-3-1 Wide,69,66,70,69,€340M,25,
,Minnesota United FCMajor League Soccer,111138,5-3-2,68,70,70,66,€150M,29,
,Toronto FCMajor League Soccer,111651,3-4-2-1,68,65,70,65,€218.5M,24,
,DC UnitedMajor League Soccer,688,4-2-3-1 Narrow,68,70,67,68,€277M,26,
,New York Red BullsMajor League Soccer,689,4-4-2 Flat,68,70,68,67,€261M,24,
,Chicago FireMajor League Soccer,693,4-2-3-1 Wide,68,76,67,68,€285.5M,27,
,FC DallasMajor League Soccer,695,3-4-2-1,68,75,66,64,€168M,36,
,Sporting Kansas CityMajor League Soccer,696,4-3-3 Flat,68,69,70,69,€182.5M,25,
,New York City FCMajor League Soccer,112828,4-2-3-1 Wide,68,68,70,65,€326.5M,27,
,Austin FCMajor League Soccer,114161,4-2-3-1 Wide,68,71,69,66,€230M,25,
,CF MontréalMajor League Soccer,111139,5-2-1-2,67,70,67,64,€189M,25,
,Colorado RapidsMajor League Soccer,694,4-2-3-1 Wide,67,66,68,68,€160M,27,
