,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Atlanta UnitedMajor League Soccer,112885,3-4-2-1,72,77,71,70,€332M,30,
,Seattle Sounders FCMajor League Soccer,111144,4-2-3-1 Wide,71,71,71,68,€236.7M,27,
,DC UnitedMajor League Soccer,688,4-2-3-1 Wide,71,77,71,69,€251.8M,27,
,New York Red BullsMajor League Soccer,689,4-2-3-1 Wide,71,71,71,72,€252.1M,29,
,Sporting Kansas CityMajor League Soccer,696,4-3-3 Holding,71,70,72,70,€277.5M,29,
,LA GalaxyMajor League Soccer,697,4-4-1-1 Midfield,71,85,72,69,€345.3M,27,
,Philadelphia UnionMajor League Soccer,112134,4-1-2-1-2 Narrow,70,69,72,68,€176.1M,27,
,Minnesota United FCMajor League Soccer,111138,4-2-3-1 Wide,70,71,71,68,€235M,26,
,Toronto FCMajor League Soccer,111651,4-2-3-1 Wide,70,76,72,69,€290.3M,30,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,70,73,71,69,€293.6M,27,
,Los Angeles FCMajor League Soccer,112996,4-3-3 Holding,70,75,71,68,€270.2M,25,
,Columbus CrewMajor League Soccer,687,4-2-3-1 Wide,70,71,70,68,€157M,28,
,Chicago FireMajor League Soccer,693,4-2-3-1 Wide,70,71,70,70,€229M,27,
,New York City FCMajor League Soccer,112828,4-3-3 Flat,70,69,72,70,€268.5M,24,
,CF MontréalMajor League Soccer,111139,4-3-3 Attack,69,70,73,69,€163.1M,27,
,San Jose EarthquakesMajor League Soccer,111928,4-2-3-1 Wide,69,69,70,69,€238.1M,29,
,New England RevolutionMajor League Soccer,691,4-1-4-1,69,72,70,67,€225.1M,26,
,FC DallasMajor League Soccer,695,4-3-3 Flat,69,69,67,70,€195.4M,28,
,Real Salt LakeMajor League Soccer,111065,4-2-3-1 Wide,69,71,70,68,€172.1M,30,
,Orlando City SCMajor League Soccer,112606,4-3-3 Attack,69,72,71,63,€283.6M,28,
,Vancouver Whitecaps FCMajor League Soccer,101112,4-3-3 Holding,69,69,69,69,€162.7M,28,
,Colorado RapidsMajor League Soccer,694,4-2-3-1 Wide,68,74,67,67,€147.3M,27,
,Houston DynamoMajor League Soccer,698,4-2-3-1 Wide,68,70,68,68,€218.7M,29,
,FC CincinnatiMajor League Soccer,113149,4-2-3-1 Wide,68,68,67,69,€170M,30,
