,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,LA GalaxyMajor League Soccer,697,4-1-2-1-2 Narrow,71,75,69,69,€0,27,
,Philadelphia UnionMajor League Soccer,112134,4-2-3-1 Wide,69,70,70,67,€0,26,
,CF MontréalMajor League Soccer,111139,4-2-3-1 Wide,69,81,68,68,€0,27,
,Toronto FCMajor League Soccer,111651,4-3-3 Holding,69,69,70,69,€0,26,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,69,69,70,65,€0,29,
,Seattle Sounders FCMajor League Soccer,111144,4-2-3-1 Wide,69,69,69,68,€0,27,
,New York Red BullsMajor League Soccer,689,4-2-3-1 Wide,69,72,69,66,€0,27,
,FC DallasMajor League Soccer,695,4-4-2 Flat,69,67,68,68,€0,26,
,Sporting Kansas CityMajor League Soccer,696,4-3-3 Flat,69,70,69,68,€0,26,
,Houston DynamoMajor League Soccer,698,4-2-3-1 Wide,69,70,69,68,€0,27,
,New York City FCMajor League Soccer,112828,4-3-3 Flat,69,69,74,66,€0,27,
,Real Salt LakeMajor League Soccer,111065,4-3-3 Attack,69,71,70,65,€0,25,
,San Jose EarthquakesMajor League Soccer,111928,4-4-2 Flat,68,68,63,67,€0,28,
,Columbus CrewMajor League Soccer,687,4-2-3-1 Wide,68,68,69,66,€0,26,
,DC UnitedMajor League Soccer,688,4-4-2 Flat,68,67,67,68,€0,29,
,New England RevolutionMajor League Soccer,691,4-1-4-1,68,70,67,68,€0,26,
,Orlando City SCMajor League Soccer,112606,4-2-3-1 Wide,68,69,68,66,€0,27,
,Vancouver Whitecaps FCMajor League Soccer,101112,4-4-1-1 Attack,68,67,67,67,€0,28,
,Chicago FireMajor League Soccer,693,4-3-3 Holding,67,70,63,64,€0,26,
,Colorado RapidsMajor League Soccer,694,4-2-3-1 Wide,66,68,67,64,€0,26,
