,Name,ID,Formation,Overall,Attack,Midfield,Defence,Club worth,Players,
,Minnesota United FCMajor League Soccer,111138,4-2-3-1 Wide,71,73,71,69,€270M,30,
,Portland TimbersMajor League Soccer,111140,4-2-3-1 Wide,71,71,71,70,€351M,26,
,Seattle Sounders FCMajor League Soccer,111144,5-3-2,71,73,73,68,€364.5M,24,
,Columbus CrewMajor League Soccer,687,4-2-3-1 Wide,71,71,73,70,€180M,29,
,Inter MiamiMajor League Soccer,112893,4-2-3-1 Wide,71,74,71,71,€330M,26,
,Toronto FCMajor League Soccer,111651,4-2-3-1 Wide,70,73,71,70,€355.5M,30,
,Orlando City SCMajor League Soccer,112606,4-2-3-1 Wide,70,72,71,65,€265.5M,29,
,Philadelphia UnionMajor League Soccer,112134,4-1-2-1-2 Narrow,69,70,70,68,€216M,29,
,Los Angeles FCMajor League Soccer,112996,4-3-3 Holding,69,75,70,67,€427.5M,26,
,DC UnitedMajor League Soccer,688,3-1-4-2,69,66,68,66,€297M,30,
,Colorado RapidsMajor League Soccer,694,4-2-3-1 Wide,69,70,71,67,€171M,28,
,Sporting Kansas CityMajor League Soccer,696,4-3-3 Holding,69,71,69,67,€292.5M,29,
,New York City FCMajor League Soccer,112828,4-2-3-1 Wide,69,68,69,70,€346.5M,27,
,Atlanta UnitedMajor League Soccer,112885,4-3-3 Holding,69,71,70,68,€450M,29,
,FC CincinnatiMajor League Soccer,113149,4-2-3-1 Wide,69,67,70,68,€256.5M,28,
,CF MontréalMajor League Soccer,111139,5-2-1-2,68,68,69,65,€189M,29,
,San Jose EarthquakesMajor League Soccer,111928,4-2-3-1 Wide,68,66,70,68,€247.5M,25,
,New York Red BullsMajor League Soccer,689,4-1-2-1-2 Narrow,68,67,68,68,€261M,28,
,New England RevolutionMajor League Soccer,691,4-2-3-1 Wide,68,68,68,66,€220.5M,27,
,Chicago FireMajor League Soccer,693,4-2-3-1 Wide,68,75,69,65,€301.5M,27,
,LA GalaxyMajor League Soccer,697,4-2-3-1 Wide,68,77,68,67,€432M,30,
,Houston DynamoMajor League Soccer,698,4-3-3 Flat,68,66,69,68,€252M,28,
,Nashville SCMajor League Soccer,114162,4-2-3-1 Wide,68,69,69,67,€180M,30,
,Vancouver Whitecaps FCMajor League Soccer,101112,4-4-2 Holding,68,71,66,68,€193.5M,29,
,FC DallasMajor League Soccer,695,4-2-3-1 Wide,67,72,67,68,€198M,26,
,Real Salt LakeMajor League Soccer,111065,4-2-3-1 Wide,67,68,67,67,€211.5M,28,
